Team,Elo_Results,Elo_Model,Combined_Elo,Rank,toi,gf,ga,xgf,xga,xg_diff_60,g_diff_60,Combined_Elo_std,xg_diff_60_std,g_diff_60_std,Power_Score
brazil,1659.436056,1597.652676,1628.544366,1,304278.43,276,189,272.47929999999997,221.82659999999998,0.5992857265630033,1.029320415515487,2.2658590492005386,1.4779927561230752,2.137502704043072,1.9250412629380598
thailand,1619.274752,1568.513307,1593.8940295,2,304080.12,294,248,294.7369,221.6617,0.8651362016037089,0.5445933131044541,1.655075543325902,2.134499063943898,1.130587511524869,1.7419473452128937
pakistan,1610.642689,1563.545194,1587.0939415,3,301873.45999999996,263,212,284.7034,233.462,0.6110806826144969,0.6082018604749155,1.5352099948659033,1.5071198925221707,1.2627204424106282,1.4694760434373555
netherlands,1589.122562,1567.730032,1578.426297,5,310346.06,243,174,242.4986,201.8032,0.47206476537836506,0.8003968215352887,1.3824249188714743,1.163826067152688,1.6619636975423209,1.3508931339181292
china,1613.155333,1560.492504,1586.8239185,4,306340.66000000003,239,193,255.917,220.9786,0.41058291119435464,0.5405746661249603,1.530450283669251,1.0119992739820434,1.1222396459384538,1.2414277522482087
peru,1537.752139,1568.562344,1553.1572415,7,313239.44,256,178,244.54989999999998,214.9336,0.34037437942042,0.8964388392470629,0.9370058012698118,0.8386223260365134,1.8614701131585951,1.0825452735542491
uk,1508.497746,1535.014464,1521.756105,10,308052.23,244,211,276.3125,240.0014,0.4243434952572817,0.385648888177177,0.3834961336243609,1.0459804441688825,0.8004150177045573,0.7318736346582088
new_zealand,1612.003296,1509.692623,1560.8479595,6,303398.51,219,226,241.2646,238.3313,0.0348053126562817,-0.08305907632835771,1.0725705367734066,0.08403266515716815,-0.17322389781601133,0.42799650120902766
guatemala,1531.149499,1509.357258,1520.2533785,11,305293.72,231,236,255.688,232.81,0.2697756114996403,-0.05895961436743606,0.3570074858145295,0.6642817067193068,-0.12316250397344121,0.38388317621884627
mexico,1489.436218,1508.200259,1498.8182385,14,308868.23,236,253,263.9575,222.7647,0.4801208593062482,-0.19814274844648153,-0.02083097927840407,1.1837202444312598,-0.41228521147092706,0.3826986637669569
serbia,1542.224731,1510.938049,1526.58139,9,302140.76,269,264,277.2881,264.17420000000004,0.15625180793216975,0.05957488158830341,0.4685517142287329,0.38393955905737415,0.12306714611555486,0.3656099385375538
iceland,1577.125268,1518.430103,1547.7776855,8,305328.83,238,209,230.0624,248.6737,-0.21943777795238004,0.34192644042162673,0.8421800533660654,-0.543809706307057,0.709591136225334,0.26126636606867015
india,1505.251118,1525.5759,1515.413509,12,307629.66000000003,221,193,239.33589999999998,237.9323,0.01642546430665996,0.3276667145814223,0.2716948233765828,0.03864442059424511,0.6799696553586198,0.2601296286600551
panama,1419.617883,1519.118146,1469.3680144999998,22,304529.73,255,213,257.4552,241.3937,0.18987111701704784,0.4965032478109773,-0.5399517983074895,0.4669609961092392,1.0306908539780966,0.1769418499163192
france,1450.722435,1493.815678,1472.2690564999998,21,310605.14,241,265,266.6524,234.1395,0.376833557873511,-0.2781666781174323,-0.48881496148486475,0.9286566982856299,-0.5785175309552244,0.060233188529261183
ethiopia,1524.406585,1503.364827,1513.885706,13,302833.12,267,247,239.41989999999998,262.68809999999996,-0.27660620476386444,0.23775470793947506,0.24476415063619672,-0.6849846762001367,0.4931970052896236,-0.07744880916765126
south_korea,1469.524713,1497.634137,1483.579425,19,305210.15,288,302,259.8572,251.2013,0.10209765304332083,-0.16513212289958246,-0.2894464351456157,0.25020820396466065,-0.34371281225418865,-0.08443785492321974
morocco,1497.81105,1484.311417,1491.0612335,17,309973.69,249,269,249.5033,243.6248,0.06827224594448648,-0.23227777815594608,-0.1575641596037101,0.16667781673630672,-0.4831933159292054,-0.09299320033280244
canada,1495.324552,1475.684961,1485.5047565,18,303885.32,222,265,241.13389999999998,233.5842,0.08943808144467098,-0.509402691778596,-0.255508504310776,0.21894593667869694,-1.0588600867039144,-0.22639704439361452
indonesia,1499.092336,1493.45202,1496.272178,15,306987.96,221,210,215.9004,238.33769999999998,-0.2631187229622946,0.12899528698128748,-0.0657105364613182,-0.6516779202953622,0.2672729487481771,-0.23350079295303677
philippines,1493.825623,1494.975355,1494.400489,16,312727.08999999997,198,186,213.5851,236.1342,-0.2595770005086542,0.1381396155990196,-0.0987029078146783,-0.6429317891063561,0.28626830379388224,-0.23940021800963732
saudi_arabia,1472.4254,1481.214896,1476.820148,20,311374.11,195,205,218.9647,230.9676,-0.13877338742132428,-0.1156165488517976,-0.4085926057242972,-0.3446124651057693,-0.24085497012615212,-0.34945302235725706
germany,1434.5586,1474.028863,1454.2937315,27,301898.1,253,274,239.1072,253.00209999999998,-0.16569047635609474,-0.25041562036991954,-0.8056670654387731,-0.41108305791229016,-0.5208707405953864,-0.5908741974595026
switzerland,1457.016719,1463.211653,1460.114186,24,311570.82999999996,201,229,205.292,237.382,-0.37077925427101127,-0.32352194202518897,-0.7030695739167541,-0.9175409694273661,-0.6727332330734587,-0.7827908639523399
uae,1463.149157,1456.374273,1459.761715,25,313436.69,202,250,211.3954,242.3641,-0.3556932661584706,-0.5513075064696478,-0.7092826008262934,-0.8802867709758626,-1.145908230581581,-0.8650093948371786
singapore,1443.476195,1469.736005,1456.6061,26,309864.37,255,269,257.02070000000003,299.9845,-0.4991528390308314,-0.162651807950685,-0.7649068107929314,-1.2345540127160368,-0.33856049708168756,-0.8674964288199248
kazakhstan,1452.877762,1439.625952,1446.2518570000002,29,305423.62,193,248,209.8053,231.42149999999998,-0.2547881529267447,-0.6482799201973967,-0.947421657083609,-0.6311059360803847,-1.3473473416854471,-0.900880505602687
