game,game_id,home_team,away_team,home_win_probability,,
1,game_1,brazil,kazakhstan,0.8322778917,,uses full_phase1a_code 
2,game_2,netherlands,mongolia,0.8589871605,,
3,game_3,peru,rwanda,0.798464947,,
4,game_4,thailand,oman,0.8187330648,,
5,game_5,pakistan,germany,0.7841908396,,
6,game_6,india,usa,0.733470111,,
7,game_7,panama,switzerland,0.623498022,,
8,game_8,iceland,canada,0.6246426094,,
9,game_9,china,france,0.7167908858,,
10,game_10,philippines,morocco,0.5407837829,,
11,game_11,ethiopia,saudi_arabia,0.6042659282,,
12,game_12,singapore,new_zealand,0.3712225112,,
13,game_13,guatemala,south_korea,0.6286751439,,
14,game_14,uk,mexico,0.5915284104,,
15,game_15,vietnam,serbia,0.4115324521,,
16,game_16,indonesia,uae,0.6223785873,,
