power_rank,team,power_score,elo_final,elo_std,PCT,PTS,GD,xGD,xGDpg,GF,GA,xGF,xGA
1,brazil,1.984224146753962,1604.9008400972702,6.8757832393389045,0.7439024390243902,122,87,50.65270000000004,0.6177158536585371,276,189,272.4793,221.82659999999998
2,thailand,1.6567294276733782,1580.1293178966016,5.851179472621586,0.6524390243902439,107,46,73.0752,0.891160975609756,294,248,294.7369,221.6617
3,netherlands,1.5179492459039445,1579.8281517508535,7.288673160882919,0.6951219512195121,114,69,40.69540000000001,0.4962853658536586,243,174,242.4986,201.8032
4,peru,1.4967895919084888,1584.02042089177,6.099986506886354,0.6829268292682927,112,78,29.616299999999995,0.3611743902439024,256,178,244.5499,214.9336
5,pakistan,1.442001912116199,1574.3190643690427,7.3213354994815445,0.6463414634146342,106,51,51.2414,0.6248951219512195,263,212,284.7034,233.462
6,china,1.1075674911671647,1559.757680230979,7.277853427649601,0.6158536585365854,101,46,34.9384,0.42607804878048783,239,193,255.917,220.9786
7,uk,0.7742735625682373,1540.627717217424,6.875493920341651,0.5548780487804879,91,33,36.31110000000001,0.44281829268292694,244,211,276.3125,240.0014
8,panama,0.6710656005075349,1536.1881727088903,7.726924895696965,0.6158536585365854,101,42,16.061499999999995,0.19587195121951215,255,213,257.4552,241.3937
9,india,0.542716638749666,1531.4228185259492,7.054997501646058,0.6341463414634146,104,28,1.4036000000000115,0.01711707317073185,221,193,239.3359,237.9323
10,mexico,0.4439934662241599,1516.9755766082205,6.53760918114732,0.5304878048780488,87,-17,41.19279999999998,0.5023512195121949,236,253,263.9575,222.7647
11,guatemala,0.36386325830109845,1516.119686785127,7.263657965202875,0.5609756097560976,92,-5,22.877999999999986,0.2789999999999998,231,236,255.688,232.81
12,serbia,0.2313693257341075,1512.8326717295383,7.6809367573121206,0.5365853658536586,88,5,13.113900000000001,0.15992560975609757,269,264,277.2881,264.1742
13,france,0.186838958977098,1503.162552621295,5.571321026284294,0.5182926829268293,85,-24,32.5129,0.3964987804878049,241,265,266.6524,234.1395
14,iceland,0.09892114770340395,1509.4400824359027,6.602722379191325,0.6158536585365854,101,29,-18.6113,-0.2269670731707317,238,209,230.0624,248.6737
15,south_korea,0.004569709808808935,1499.4441554330779,7.818920399284036,0.524390243902439,86,-14,8.655899999999974,0.10555975609756066,288,302,259.8572,251.2013
16,new_zealand,-0.019403990509561955,1500.1059425488172,6.523991312193725,0.524390243902439,86,-7,2.9333000000000027,0.03577195121951223,219,226,241.2646,238.3313
17,ethiopia,-0.15295927847976862,1494.8732350142218,5.949656779363263,0.5975609756097561,98,20,-23.268200000000007,-0.28375853658536593,267,247,239.4199,262.6881
18,philippines,-0.22463607182204065,1488.8629104566562,5.4268356292065185,0.6036585365853658,99,12,-22.54909999999998,-0.2749890243902437,198,186,213.5851,236.1342
19,morocco,-0.26897985565401156,1481.4399032326319,7.299151296573036,0.5182926829268293,85,-20,5.8785000000000025,0.07168902439024394,249,269,249.5033,243.6248
20,canada,-0.28324254722048925,1480.806011273379,7.655163895115436,0.5060975609756098,83,-43,7.549700000000001,0.09206951219512197,222,265,241.1339,233.5842
21,indonesia,-0.34105091400142307,1485.3399777550906,6.46981102042231,0.5487804878048781,90,11,-22.437300000000022,-0.27362560975609784,221,210,215.9004,238.3377
22,saudi_arabia,-0.45480783809632624,1475.5160832719664,6.327364850608909,0.5182926829268293,85,-10,-12.002900000000011,-0.14637682926829282,195,205,218.9647,230.9676
23,germany,-0.5536171737170525,1473.0067519917322,8.050807841626806,0.47560975609756095,78,-21,-13.894899999999978,-0.16944999999999974,253,274,239.1072,253.00209999999998
24,singapore,-0.7340040011661907,1463.4139828226166,7.910209096077678,0.573170731707317,94,-14,-42.96380000000005,-0.5239487804878055,255,269,257.0207,299.9845
25,switzerland,-0.8447639403863156,1457.9883967364874,7.953287861997606,0.49390243902439024,81,-28,-32.09,-0.39134146341463416,201,229,205.292,237.382
26,uae,-0.8756487129307041,1451.4749003659751,6.371287553007483,0.5365853658536586,88,-48,-30.968700000000013,-0.37766707317073184,202,250,211.3954,242.3641
27,vietnam,-0.9798558875613574,1449.2498808175897,6.748259300792413,0.5487804878048781,90,-34,-46.23780000000002,-0.5638756097560979,223,257,225.7784,272.0162
28,oman,-1.0635633270886737,1445.4359145634778,6.4674323961905955,0.4695121951219512,77,-42,-34.55549999999997,-0.4214085365853654,241,283,244.93710000000002,279.4926
29,usa,-1.0647813704641433,1443.6061826200623,7.4397885218141075,0.4878048780487805,80,-47,-34.30449999999999,-0.41834756097560966,240,287,247.3928,281.6973
30,kazakhstan,-1.2013724994430557,1436.1076300338027,7.251462433743932,0.4024390243902439,66,-55,-21.61620000000002,-0.26361219512195144,193,248,209.8053,231.4215
31,rwanda,-1.3769566142757703,1426.8307035037237,6.1916469404256365,0.4146341463414634,68,-63,-32.3124,-0.3940536585365853,202,265,223.8094,256.1218
32,mongolia,-2.083229461280432,1396.7726836898225,6.924844297205614,0.40853658536585363,67,-65,-80.89800000000002,-0.9865609756097564,179,244,187.599,268.497
