shuffle_id,brazil,canada,china,ethiopia,france,germany,guatemala,iceland,india,indonesia,kazakhstan,mexico,mongolia,morocco,netherlands,new_zealand,oman,pakistan,panama,peru,philippines,rwanda,saudi_arabia,serbia,singapore,south_korea,switzerland,thailand,uae,uk,usa,vietnam
1,1603.22769780902,1473.739282911164,1563.1391332665519,1496.3840737454211,1506.8787341725572,1479.9874201201492,1502.7608373847959,1517.752453257575,1536.1046358524006,1477.0755698651321,1434.598835586691,1519.7039834728448,1401.6833572749256,1487.66758523609,1582.9073612332986,1498.9780150602724,1446.2744988363686,1570.4309239182821,1541.713885492352,1579.084163291299,1487.8319260052913,1431.4705877762792,1477.423266329579,1530.1982736251387,1449.6579757932404,1493.320051306465,1454.4214689204334,1586.4179723394404,1452.774123515959,1533.8430379631425,1445.5004311310615,1437.0484375067783
2,1606.907688002131,1491.9110102437355,1556.939135661094,1492.2650330938818,1501.3965225530985,1475.76566559432,1518.5291935631278,1500.0654781169792,1527.422701635387,1491.53728792232,1435.3919363855025,1522.3567689439967,1396.227153720176,1468.8596108758493,1584.8352208943509,1515.5121373005702,1447.0602225881387,1588.1447905160605,1527.2752069300464,1581.4037373861077,1492.9442083024878,1426.4598002953778,1478.6694025940014,1507.0464778372395,1458.9579463027972,1502.1706264009206,1444.9778690897645,1579.5841375808577,1448.038025015223,1531.2770061119813,1454.349765421543,1445.7182331209324
3,1589.4581093012844,1489.106379818183,1554.9145431570917,1488.5748810362695,1497.5862038805703,1480.7364661286124,1511.0172667599916,1497.853608265853,1541.4598984558213,1485.390093567428,1435.8187270150547,1527.6353413582221,1389.5377117485814,1488.0956690071223,1584.9571052408648,1491.8062748382285,1445.5943432219328,1578.0457262786379,1540.283131259268,1581.9021045235538,1486.7338825551035,1425.4709900706728,1464.1040723798956,1512.7165325129324,1457.0511273335144,1503.2938522839195,1463.1704712726594,1588.139301386792,1441.2245504112125,1548.8558400027255,1459.7579988681978,1449.7077960598033
4,1597.9822354734088,1488.6906810249807,1556.9870346852176,1507.7560682725154,1498.1302585966116,1472.8415833171946,1514.453797174635,1511.2444946972737,1541.1986712263233,1487.3261986755936,1439.9547377800397,1520.4751319378806,1379.2179329050805,1471.6062453184181,1579.8472443552998,1495.5664091801934,1444.4988108848372,1581.0339181048848,1531.44236529405,1596.6132945914733,1493.9095591650716,1415.5753229288302,1485.4497421342237,1504.9531258653099,1459.2316608404153,1497.9064232783521,1458.8970902526341,1578.9390370641504,1458.0046976195206,1534.41652412411,1443.6151405627497,1452.2345626687209
5,1603.6250772945841,1483.1996437708544,1561.2424463118043,1502.9045682931805,1504.0607502999765,1469.839013633564,1519.5724453854716,1509.3447020124734,1534.0481107851206,1481.0708177830873,1431.3965719102555,1509.518485535583,1384.4478183642277,1483.9600146273096,1576.081171599477,1501.8480739778697,1449.8968182910098,1561.9081633551675,1538.9117904246123,1579.33794298499,1496.036394647978,1426.4382049217445,1482.6116528749792,1522.7773996307924,1461.4209938281783,1505.3459567305035,1449.816131683676,1576.7363470333771,1458.4797424039327,1535.1523541835857,1446.1705097231047,1452.7998856975285
6,1600.3770943339093,1483.4100479499136,1552.1515551461382,1495.2638413703676,1504.1144088434323,1478.9959856653772,1528.9300815005965,1511.7500959524032,1540.800790567634,1490.9176828142658,1432.1665230765623,1512.9866611792281,1400.6116183826223,1474.4625872414604,1573.303310638646,1495.0226003461066,1444.6219239142706,1575.5078641786154,1535.3723997147836,1575.4193218676644,1488.45352719699,1437.7138611797302,1463.9551614177417,1522.5386933302368,1457.1721302894334,1492.2686027338475,1457.1572421750034,1588.9518898518045,1460.5192394809276,1535.7208703594545,1438.8373407756974,1450.5250465251352
7,1603.6065344822653,1474.1567207745054,1574.2987032489887,1496.398964441447,1496.7986664183848,1472.6199882337403,1505.0368674990991,1508.2920525534198,1517.72126731578,1474.819824601546,1439.0037437815897,1511.0189560590695,1396.4176864508026,1473.986276760306,1586.9953287869873,1506.8716328116961,1447.4928712994565,1575.0095034390529,1534.6315292884092,1590.0449538169696,1490.7105110207212,1432.926198476168,1469.1026992780944,1531.0799907183819,1462.3194917909461,1499.830814038433,1450.0818161206844,1577.3723770178124,1453.3765511192585,1550.7382095298924,1457.4362560907732,1439.8030127353186
8,1604.1490378856422,1489.3577171042846,1562.1125769858797,1491.6947824213662,1502.3276808176965,1468.5737708452004,1505.1330532768807,1511.4987522792499,1538.2543062074537,1472.995561635738,1448.4344465944255,1524.5438466124933,1402.7529057018014,1495.0708231163856,1575.731958306656,1491.9352372052158,1449.6543401178574,1567.1320523251545,1533.5275717011075,1579.428898461938,1501.555192563669,1425.488914262025,1470.9967332452454,1510.093122828773,1448.6821249727518,1497.8259042556397,1472.340636027982,1581.8080675266015,1456.5258830213145,1531.5328803352422,1437.1500790229625,1451.6911423353663
9,1611.3589076068595,1475.9208546116047,1561.3576190440053,1488.9425388567258,1506.4144202013435,1475.424751632181,1516.2342725894327,1500.8824436652026,1539.0863439439554,1486.7698789020546,1429.4106546970054,1519.2978374038826,1399.076485131793,1480.752738163699,1583.9401479780627,1493.2713636959459,1431.1629453349715,1572.7533432075763,1534.1020421363962,1578.8036251659819,1488.137400360523,1433.2911230957607,1486.3003965778473,1518.1572281402896,1460.3139498628766,1508.9536326857817,1456.9556721733522,1581.0368051611997,1454.289143477923,1535.583963129989,1452.4260369853282,1439.5914343804493
10,1615.4301528014296,1488.1817865984285,1566.0648456270603,1498.8624412317215,1508.1449974831505,1481.916036562014,1520.5611539848649,1499.7766341935046,1531.6504972802682,1487.3356470158167,1439.1823400465075,1500.121839139265,1388.5836134206552,1474.4589120771495,1578.795859094816,1500.3826504268693,1445.6472083312954,1572.8058016617156,1534.6459903450848,1576.9674839111526,1498.1934191726439,1424.9240030559467,1467.6110506133807,1501.5101129562308,1457.5697638210409,1500.0618392822123,1470.3002293435104,1584.5566833111125,1447.4317648426318,1547.9065318916425,1453.9462634144868,1436.4724470623912
11,1615.2043203959347,1468.4151670958433,1561.3643446082967,1495.9176358933184,1508.4993141259547,1469.7489827705992,1516.0284333930385,1512.559677296778,1528.555118944541,1471.9168302211465,1431.1102620957695,1521.302719666279,1395.110711415782,1478.9388246134022,1576.5634864579108,1506.3723085506624,1448.6479802961576,1568.9758850961482,1534.125657187052,1571.6954600366948,1480.3488357492008,1432.753159461724,1478.2664752278272,1521.0133422075028,1473.0216000598796,1499.4361789762977,1461.7199249601042,1587.717686374873,1460.2281097867585,1529.729673160484,1441.8722886606736,1452.839605213365
12,1609.6112150305732,1471.8073386566334,1574.1141722622526,1494.006388051235,1504.212668768744,1483.040467939721,1516.6457646522367,1503.3990167636953,1521.1030585903093,1482.706206474486,1439.1937031151658,1507.3564230234692,1395.244963654677,1482.1093354810018,1571.256006355029,1496.4349883687494,1442.6141212540956,1575.2951215319804,1535.3201806286365,1582.3006618169106,1499.903915265547,1430.3190643744829,1487.5760686816795,1520.8529559117599,1460.6996788931676,1492.1048942331927,1457.273475466312,1581.7096908454862,1457.7988654581548,1543.7165472810773,1437.0891344840593,1443.1839066854786
13,1606.6780203894675,1479.4222192614131,1555.6701963529001,1502.71508145159,1508.852256936863,1477.0769016525362,1523.1687436906968,1505.7692003054447,1552.4448344803436,1485.6967069144553,1433.7917609430708,1518.6726024502866,1385.7490637765186,1483.932481722999,1570.4197501813708,1494.328472521956,1453.6785771493348,1579.256573414809,1532.4760901202183,1583.2657345999176,1493.3106733326258,1420.1986230310538,1464.4902571811701,1502.1655129173064,1459.31288108223,1493.8549745417433,1466.1151760347918,1584.027528991154,1458.0996733958505,1531.47319055254,1445.4424575752719,1448.4437830480708
14,1609.941764495317,1490.757871118956,1555.9449257272988,1498.4250427635682,1506.3792836080588,1474.314834540916,1514.686757676532,1518.5466622465192,1532.8581087941513,1474.2423772297461,1431.4527162249924,1528.1920797765088,1400.802540729398,1477.4120743079604,1586.3834668658214,1505.8476227754952,1433.1862951811565,1580.9662970383615,1536.2840883932156,1582.1913760240006,1498.9842796507994,1422.2296903383808,1474.2294495600256,1501.4346273898645,1461.6395832109176,1494.0240907650154,1443.3566992112428,1585.2768209548383,1452.7501842065205,1539.8602380296886,1444.5675956057266,1442.8305555590055
