disparity_rank,team,first_xg60_raw,second_xg60_raw,ratio_raw,first_xg60_adj,second_xg60_adj,ratio_adj
1,usa,0.045368465545414904,0.03325383603080835,1.3643077298926607,0.045435582593361945,0.03302569600012605,1.3757645741421627
2,saudi_arabia,0.03717269050887193,0.02727699477149861,1.3627854102063035,0.037303146596804865,0.027286747535264076,1.3670792588451988
3,guatemala,0.04645436900055502,0.034268251828818916,1.3556095371485457,0.04652845671141809,0.03422063916868186,1.3596606563094278
4,uae,0.033040725069329695,0.024380259465871468,1.3552245051198704,0.03305024353566853,0.024348084913742758,1.357406286890926
5,france,0.04237836898557432,0.03162549789551278,1.340006381103876,0.04245042516380433,0.03157623321346401,1.3443790105307303
6,iceland,0.042902740570309884,0.03240199882787899,1.324076974331471,0.042963266347156456,0.032478861039173454,1.3228070496480013
7,singapore,0.04356999710923519,0.034716955601739374,1.2550062744284025,0.04359149423905898,0.03474128044518354,1.2547463329061728
8,new_zealand,0.04029315492442559,0.032889198761150255,1.2251181677317453,0.040314999863472124,0.032835289417640426,1.2277948688283313
9,peru,0.039546058772720445,0.03301506586814337,1.1978185635206897,0.03954519485420181,0.032920628260059925,1.2012284377385034
10,panama,0.04219693523960354,0.035194670503112514,1.1989580989505717,0.04220785405191843,0.035194457589892786,1.1992755945765667
