elo model with xg boost
Final Power Rankings:
1. peru - 1614.59
2. netherlands - 1591.81
3. ethiopia - 1561.9
4. indonesia - 1548.08
5. thailand - 1545.54
6. philippines - 1537.33
7. brazil - 1533.56
8. uk - 1532.0
9. oman - 1514.61
10. panama - 1513.11
11. saudi_arabia - 1512.52
12. singapore - 1510.91
13. china - 1504.71
14. iceland - 1504.45
15. south_korea - 1503.56
16. serbia - 1502.82
17. india - 1500.01
18. pakistan - 1498.13
19. rwanda - 1498.07
20. usa - 1488.3
21. mexico - 1486.47
22. new_zealand - 1484.16
23. canada - 1481.05
24. uae - 1474.9
25. germany - 1474.53
26. switzerland - 1468.4
27. guatemala - 1458.24
28. vietnam - 1452.67
29. mongolia - 1445.13
30. france - 1443.85
31. morocco - 1416.87
32. kazakhstan - 1397.74
